language,keywords
ar, "دعوة قانونية" OR "إحتيال" OR "تزوير" OR "تهرب ضريبي" OR "غسيل أموال" OR "إختلاس" OR "رشوة" OR "فساد" OR "إرهاب" OR "فضيحة" OR "مخالفة" OR "إنتهاك" OR "إعتداء" OR "تهمة" OR "إدانة" OR "جدل"
bs, prevara OR pronevjera OR parnica OR utaje poreza OR pranje novca OR podmićivanje OR korupcija
bg, съдебни дела OR измама OR укриване на данъци OR пране на пари OR незаконно присвояване OR подкуп OR корупция
en, litigation OR fraud OR "tax evasion" OR "money laundering" OR embezzlement OR bribery OR corruption
hr, parnica OR prevara OR "porezna evazija“ OR "pranje novca" OR pronevjera OR podmićivanje OR korupcija
cs, spory OR podvod OR "daňový únik" OR "praní špinavých peněz" OR zpronevěra OR úplatkářství OR korupce
da, retssager OR svig OR "skatteunddragelse" OR "hvidvaskning af penge" OR underslæb OR bestikkelse OR korruption
nl, geschillen OR fraude OR "belastingontduiking" OR "witwassen van geld" OR verduistering OR omkoping OR corruptie
et, kohtuvaidluste OR pettus OR "maksudest kõrvalehoidumise" OR "rahapesu" OR omastamise OR altkäemaksu OR korruptsioon
fi, oikeudenkäynnit OR petos OR "veronkierron" OR "rahanpesu" OR kavalluksesta OR lahjontaan OR korruptioon
fr, litige OR fraude OR "fraude fiscale" OR "blanchiment d'argent" OR "détournement de fonds" OR corruption
de, Rechtsstreit OR Betrug OR Steuerhinterziehung OR Geldwäsche OR Unterschlagung OR Bestechung OR Korruption
el, αντιδικία OR απάτης OR φοροδιαφυγής OR "ξέπλυμα χρήματος" OR κατάχρησης OR δωροδοκία OR διαφθοράς
hu, peres OR csalás OR adóelkerülés OR pénzmosás OR sikkasztás OR vesztegetés OR korrupció
it, lite OR contenzioso OR frode OR "evasione fiscale" OR "riciclaggio di denaro" OR "appropriazione indebita” OR corruzione
lv, tiesvedība OR viltu OR "nodokļu nemaksāšanas" OR "naudas atmazgāšana" OR piesavināšanās OR uzpirkšanu OR korupcija
lt, bylinėjimosi OR objektas OR sukčiavimas OR "mokesčių vengimas" OR "pinigų plovimas" OR iššvaistymas OR kyšininkavimas OR korupcija
mk, скандал OR корупција OR перење пари OR поткуп OR измама OR проневера
mn, шүүхийн OR залилангийн OR "татвараас зайлсхийх явдал" OR "мөнгө угаах" OR завших OR „хээл хахууль” OR авилгалын
no, rettssaker OR bedrageri OR skatteunndragelse OR hvitvasking OR underslag OR bestikkelser OR korrupsjon
fa, تقلب OR دعوی قضایی OR فرار از پرداخت مالیات OR پول شویی OR اختلاس OR رشوه خواری OR فساد
pl, spór OR oszustwo OR "unikanie podatków" OR "pranie pieniędzy" OR sprzeniewierzenie OR przekupstwo OR korupcja
pt, litígio OR fraude OR "evasão fiscal" OR "lavagem de dinheiro" OR desfalque OR suborno OR corrupção
ro, litigii OR fraudă OR "evaziune fiscală" OR "spălare de bani" OR delapidare OR "luare de mită" OR corupţie
ru,"суд" OR "мошенничество" OR "уклонение от уплаты налогов" OR "отмывание денег" OR хищение OR "взяточничество" OR "коррупция" OR "сговор" OR "санкции" OR "нарушение"
sr, парница OR превара OR „утајa пореза“ OR "прање новца" OR проневера OR подмићивање OR корупција
sk, sporu OR podvodom OR "daňový únik" OR "pranie špinavých peňazí" OR "sprenevera" OR "úplatkárstvo" OR korupcie
sl, pravde OR goljufij OR "davčne utaje" OR "pranje denarja" OR poneverbe OR podkupovanje OR korupcijo
es, litigio OR fraude OR “evasión de impuestos” OR “lavado de dinero” OR malversación OR soborno OR corrupción
sv, rättstvister OR bedrägeri OR "falsk deklaration" OR penningtvätt OR förskingring OR bestickning OR korruption
tr, dava OR dolandırıcılık OR "vergi kaçakçılığı" OR "kara para aklama" OR zimmet OR rüşvet OR yolsuzluk
uk, суд OR відмивання грошей OR розкрадання OR махінації OR санкції OR корупція OR шахрайство OR ухилення від сплати податків